"","DHSCLUST","m0_1y_hiv","m0_1y_nonhiv","gt1_hiv","gt1_nonhiv","total_pop","m0_1y_hiv_rate","gt1_hiv_rate","allm0_1y_rate","all_hiv_rate","pop_rate"
"133",133,0,2.57914,5.23157,18.20056,26.01127,0,0.201127049928742,0.0991547125534432,0.201127049928742,0.00165248863646896
"134",134,0,0,2.598111,24.744303,27.342414,0,0.0950212735422703,0,0.0950212735422703,0.00173705583882024
"135",135,0,0.521935,0.521935,1.963949,3.007819,0,0.173526066561851,0.173526066561851,0.173526066561851,0.000191085891540684
"136",136,0,0,7.325026,31.534878,38.859904,0,0.188498304061688,0,0.188498304061688,0.00246875872551685
"137",137,0,1.251901,3.879213,21.899867,27.030981,0,0.143509885934217,0.0463135614648984,0.143509885934217,0.00171727058829148
"138",138,4.098411,1.382356,2.764712,39.407126,47.652605,0.0860060221261776,0.0580180663785327,0.115015055315444,0.14402408850471,0.0030273565366337
"139",139,0,3.516592,8.707225,65.085037,77.308854,0,0.112629078682243,0.0454875711907462,0.112629078682243,0.00491140965948368
"140",140,0,1.130081,4.467199,25.513738,31.111018,0,0.143588969026986,0.0363241408558216,0.143588969026986,0.00197647418653458
"141",141,0,0.935116,1.88036,9.396736,12.212212,0,0.153973743659216,0.0765722049371563,0.153973743659216,0.000775838379139115
"142",142,0.597,0.910118,4.208236,6.727798,12.443152,0.0479781971641912,0.338196945597064,0.121120275634341,0.386175142761255,0.000790509932112351
"143",143,0,0,3.11302,28.488389,31.601409,0,0.0985088987646089,0,0.0985088987646089,0.0020076285882584
"144",144,0.525292,2.609374,3.143209,9.92929,16.207165,0.0324110971906561,0.193939470598343,0.19341235805275,0.226350567788999,0.00102963661489337
"145",145,0,0,4.953837,17.862314,22.816151,0,0.217119749952566,0,0.217119749952566,0.00144950362882935
"146",146,2.362041,0,1.205781,28.394013,31.961835,0.0739019208377742,0.0377256499822366,0.0739019208377742,0.111627570820011,0.00203052635023957
"147",147,0,1.713716,1.727768,12.880974,16.322458,0,0.105852194565304,0.104991294816014,0.105852194565304,0.00103696114661998
"148",148,0,1.163963,2.327926,33.27914,36.771029,0,0.0633086988128616,0.0316543494064308,0.0633086988128616,0.00233605308674934
"149",149,0.725882,2.895022,2.16914,26.730044,32.520088,0.0223210343096243,0.0667015415210439,0.111343610140292,0.0890225758306681,0.00206599200565642
"150",150,0.217696,1.059827,1.930611,7.078907,10.287041,0.0211621592642627,0.187674084316374,0.124187606523586,0.208836243580637,0.000653532809255
"151",151,0,1.565257,0.903747,9.273518,11.742522,0,0.0769636199106121,0.13329819607747,0.0769636199106121,0.000745999106098502
"152",152,0,11.108659,8.021769,42.434375,61.564803,0,0.130297972365801,0.180438472287485,0.130297972365801,0.00391119454620825
"153",153,0,0,5.262184,35.461347,40.723531,0,0.129217282263662,0,0.129217282263662,0.00258715442246347
"154",154,0,2.190079,1.117997,37.231343,40.539419,0,0.0275780222701268,0.0540234432072152,0.0275780222701268,0.00257545783910412
"155",155,0,4.958563,6.146999,35.420466,46.526028,0,0.132119574015646,0.106576108323711,0.132119574015646,0.00295578541801445
"156",156,0,3.41469,8.661303,57.401298,69.477291,0,0.12466379842012,0.04914828933097,0.12466379842012,0.00441387267404272
"157",157,0,0.502518,0.971967,5.144163,6.618648,0,0.146852801357619,0.0759245694891162,0.146852801357619,0.000420480838067039
"158",158,3.247602,3.359136,9.742806,40.87386,57.223404,0.0567530376207609,0.170259112862283,0.115455172852003,0.227012150483044,0.00363538669392431
"159",159,1.369952,2.696828,1.326876,52.609684,58.00334,0.0236185019690245,0.0228758550800695,0.0701128590181186,0.0464943570490941,0.00368493580771895
"160",160,0,0,4.485179,24.390581,28.87576,0,0.155326786204069,0,0.155326786204069,0.00183446887712153
"161",161,1.243462,8.653165,1.243462,41.15419,52.294279,0.0237781651029169,0.0237781651029169,0.189248751283099,0.0475563302058338,0.00332224077485788
"162",162,1.629584,3.182561,8.071313,60.69848,73.581938,0.0221465218814976,0.10969149793255,0.0653984541695545,0.131838019814047,0.00467463973863497
"163",163,0,0.385714,1.140698,6.495473,8.021885,0,0.142198248915311,0.0480827137262626,0.142198248915311,0.000509628088346352
"164",164,0,7.247856,14.644066,105.146945,127.038867,0,0.115272328428433,0.0570522720420673,0.115272328428433,0.00807074333961363
"165",165,0,1.436739,2.869257,9.307146,13.613142,0,0.210771106332396,0.105540587176715,0.210771106332396,0.000864839066360018
"166",166,0.633473,4.444597,7.663392,21.028041,33.769503,0.0187587303254063,0.226932330037549,0.150374436958696,0.245691060362955,0.00214536698772126
"167",167,1.708749,1.708749,6.727538,53.927762,64.072798,0.0266688681209146,0.104998348909314,0.0533377362418292,0.131667217030229,0.00407052676019938
"168",168,0.706463,2.119389,3.521027,14.790571,21.13745,0.0334223380776773,0.166577661922323,0.133689352310709,0.2,0.00134285622843217
"169",169,0,1.491919,4.370731,30.857682,36.720332,0,0.119027545829379,0.0406292350515785,0.119027545829379,0.00233283232065822
"170",170,0.928444,1.37894,2.334836,17.667888,22.310108,0.0416153969312923,0.104653729152723,0.103423255503738,0.146269126084015,0.00141735485996629
"171",171,0.197107,0.399216,1.581858,5.756119,7.9343,0.0248423931537754,0.199369572615102,0.0751576068462246,0.224211965768877,0.000504063838033886
"172",172,0,2.46037,1.643475,25.478705,29.58255,0,0.0555555555555556,0.083169638858043,0.0555555555555556,0.00187937104619555
"173",173,0,0.458568,1.834272,14.922957,17.215797,0,0.106545865985757,0.0266364664964393,0.106545865985757,0.00109371472097504
"174",174,0,1.162264,3.458436,25.399672,30.020372,0,0.115202969503509,0.0387158426950872,0.115202969503509,0.00190718575419697
"175",175,0,2.447583,1.265821,25.405415,29.118819,0,0.043470890766552,0.0840550229732875,0.043470890766552,0.00184991034674187
"176",176,0.675376,2.69052,2.679536,34.86692,40.912352,0.0165078751766704,0.0654945479546128,0.0822708995073175,0.0820024231312832,0.00259915016726281
"177",177,0,7.085255,11.785072,61.16868,80.039007,0,0.147241606833028,0.0885225250233302,0.147241606833028,0.00508485550846843
"178",178,0,2.112459,1.019955,48.296361,51.428775,0,0.0198323798301632,0.0410754290764266,0.0198323798301632,0.00326725555019109
"179",179,0.654034,2.584225,3.238259,27.309873,33.786391,0.0193579124802054,0.0958450696909297,0.0958450696909297,0.115202982171135,0.00214643987759141
"180",180,0,0.401713,1.988441,11.56415,13.954304,0,0.142496608931553,0.0287877489267827,0.142496608931553,0.000886512991862119
"181",181,0,0,4.439144,33.002722,37.441866,0,0.118560971293471,0,0.118560971293471,0.00237867117188794
"182",182,1.486234,1.486234,5.968876,11.877902,20.819246,0.0713875036588741,0.286699912187022,0.142775007317748,0.358087415845896,0.0013226408181858
"183",183,0,1.080181,4.269944,30.563549,35.913674,0,0.118894658340998,0.0300771511151992,0.118894658340998,0.00228158556575095
"184",184,1.990269,13.992989,6.031913,82.823149,104.83832,0.01898417487041,0.0575353840084427,0.152456258360493,0.0765195588788527,0.0066603488590329
"185",185,1.438572,4.377327,5.939121,39.703998,51.459018,0.0279556831030083,0.115414580977818,0.113020015267295,0.143370264080826,0.00326917687943925
"186",186,0.338283,0.669708,1.684557,8.043354,10.735902,0.0315095089355324,0.156908753451736,0.0938897355806713,0.188418262387268,0.000682048821808562
"187",187,0,1.11267,0.556335,15.435156,17.104161,0,0.0325262957943392,0.0650525915886783,0.0325262957943392,0.00108662251742555
"188",188,0,0.736148,2.922206,10.57714,14.235494,0,0.205276051537095,0.0517121499260932,0.205276051537095,0.000904376913142729
"189",189,1.13042,1.13042,8.950508,38.86831,50.079658,0.0225724384938891,0.178725421806994,0.0451448769877782,0.201297860300883,0.00318154652822611
"190",190,0.629764,3.118634,3.108572,19.361692,26.218662,0.0240196849099317,0.118563334772766,0.142966792126921,0.142583019682698,0.0016656641916531
"191",191,1.187915,2.493026,9.79631,30.401051,43.878302,0.0270729482649534,0.223260918346385,0.0838897776855631,0.250333866611338,0.00278757613305899
"192",192,0,1.458544,2.447445,14.555671,18.46166,0,0.132569064753657,0.0790039465573518,0.132569064753657,0.00117286404548311
"193",193,0,0,4.187247,14.571507,18.758754,0,0.223215625088958,0,0.223215625088958,0.00119173834339179
"194",194,0.652936,0.652936,5.148482,21.487267,27.941621,0.023367864019056,0.184258529596404,0.046735728038112,0.20762639361546,0.00177512329029004
"195",195,0,0.727419,9.205761,22.734255,32.667435,0,0.281802382097033,0.0222674048329782,0.281802382097033,0.00207535291894969
"196",196,0,1.399421,7.816968,19.495772,28.712161,0,0.27225286177519,0.0487396612188125,0.27225286177519,0.00182407547885848
"197",197,0,1.256018,4.412495,19.731191,25.399704,0,0.173722300070898,0.0494501038279816,0.173722300070898,0.00161363602121985
"198",198,0.472117,0.944234,3.274107,12.136838,16.827296,0.0280566170583794,0.194571189571991,0.0841698511751383,0.22262780663037,0.00106903336217338
"199",199,0,2.383444,1.191722,53.418637,56.993803,0,0.0209096767941595,0.0418193535883191,0.0209096767941595,0.00362080020724288
"200",200,0,0.601084,2.682288,9.850116,13.133488,0,0.204232721726323,0.0457672782736772,0.204232721726323,0.00083436678321364
"201",201,0,3.694617,1.632544,16.983161,22.310322,0,0.073174380898671,0.1656012405379,0.073174380898671,0.00141736845532584
"202",202,0,2.926502,2.941658,12.87964,18.7478,0,0.156906837068883,0.156098422214873,0.156906837068883,0.00119104243886565
"203",203,0,4.31184,1.43728,21.601698,27.350818,0,0.0525497994246461,0.157649398273938,0.0525497994246461,0.00173758974256662
"204",204,0,4.07714,4.064111,20.190265,28.331516,0,0.14344841271466,0.143908289270507,0.14344841271466,0.00179989320951797
"205",205,0.306591,0.876834,2.381163,8.968722,12.53331,0.0244620934134718,0.189986763273229,0.0944223832331603,0.214448856686701,0.000796237644388098
"206",206,0,0,1.337271,10.696089,12.03336,0,0.11113030774447,0,0.11113030774447,0.000764475962094129
"207",207,0,1.55895,1.55895,62.875377,65.993277,0,0.0236228608559626,0.0236228608559626,0.0236228608559626,0.0041925342486487
